id,texto,label
53,estou estremecendo com essa casa,negativo
54,estou eufórica com a notícia,positivo
55,estou loucamente apaixonada,positivo
56,estou me sentindo muito animada,positivo
57,estou me sentindo reconfortada hoje,positivo
58,estou muito contente com o resultado dos testes,positivo
59,estou ouvindo passos atrás de mim,negativo
60,estou rodeada pelo seu abraço,positivo
61,estou sem saída preciso de um milagre,negativo
62,estou tremendo de medo!,negativo
63,eu acho que estou sendo enganado,negativo
64,eu amo você,positivo
65,eu estou sorrindo de orelha a orelha,positivo
66,eu imploro não me matem!,negativo
67,eu não confio nele tenho que ter cautela,negativo
68,eu não vou até a floresta negra é muito perigoso,negativo
69,eu nunca tive dúvidas,positivo
70,eu serei sua amiga e companheira,positivo
71,eu sinto o sol sempre que você esta por perto,positivo
72,eu sou admirada por muitos,positivo
73,eu sou muito cativante,positivo
74,eu sou sua rainha,positivo
75,eu te entrego o dinheiro por favor não me mate!,negativo
76,eu temo que a sentença do juiz possa ser negativa,negativo
77,eu vejo estrelas pelo caminho,positivo
78,eu vou pedir socorro!,negativo
79,finalmente completei a minha coleção maravilhoso,positivo
80,finalmente você colocou meu amor em primeiro lugar,positivo
81,fiz a adesão ao curso hoje,positivo
82,fui aprovada no meu exame,positivo
83,fui beneficiada pela minha empresa,positivo
84,fuja se não acabaremos mortos,negativo
85,fuja! o tigre parece faminto,negativo
86,gosto de ficar no seu aconchego,positivo
87,graças a deus que eu enxerguei o certo,positivo
88,hora de apreciar um bom vinho,positivo
89,isso me apavora,negativo
90,isso não é remedio não me matem,negativo
91,isso vale a pena,positivo
92,ligeiro temos que fugir depressa,negativo
93,mantenha isso em segredo se descobrirem estaremos ferrados,negativo
94,maravilhoso jogo amistoso,positivo
95,mas essa missão é arriscada,negativo
96,me dedico muito naquilo que faço,positivo
97,me descobriram irão me prender!,negativo
98,me sinto completamente amado,positivo
99,me sinto flutuando no ar,positivo
100,me sinto muito bem hoje,positivo
101,meu deus ele desapareceu!,negativo
102,meu plano pode ser descoberto,negativo
103,meu suco favorito,positivo
104,muita cautela,negativo
105,muito bem esta tudo em ordem agora,positivo
106,na selva tem muitos animais perigosos,negativo
107,não aguento este suspense,negativo
108,não consigo sair daqui!,negativo
109,não dirija tão rápido assim,negativo
110,não entro lá é um lugar muito perigoso,negativo
111,não estaremos a salvo aqui,negativo
112,não me deixe por favor!,negativo
113,não quero nem pensar no que pode acontecer,negativo
114,não sei nadar vou me afogar!,negativo
115,não sei não parece perigoso,negativo
116,não tenho certeza se e seguro,negativo
117,não tenho certeza se é seguro,negativo
118,não tive culpa juro não fui eu,negativo
119,nessa cidade é uma desgraça atrás da outra,negativo
120,nós dançamos noite adentro,positivo
121,nossa amizade vai durar para sempre,positivo
122,nossa como sou afortunado,positivo
123,nossa como você é charmoso querido,positivo
124,o amor é abundante,positivo
125,o amor é lindo,positivo
126,o câncer é benigno,positivo
127,o dia esta muito bonito,positivo
128,o mais incrível é você minha bela,positivo
129,o objetivo disso e apenas me amedrontar mais,negativo
130,o órgão é compatível com o paciente,positivo
131,olha aquela criatura se movendo monstruosamente,negativo
132,os tubarões estão atacando!,negativo
133,ótimo e compatível,positivo
134,ouço passos na minha direção,negativo
135,palmas para a aniversariante,positivo
136,parece que tem olhos nos vigiando,negativo
137,podemos arrumar um emprego juntos,positivo
138,políticos usam suas forças para afugentar e amedrontar o povo,negativo
139,por favor deixe-me viver!,negativo
140,por favor me soltem eu sou inocente,negativo
141,que alegria ter vocês aqui,positivo
142,que bondade a sua em vir aqui,positivo
143,que grande alívio,positivo
144,que roupa delicada,positivo
145,quero agradar meus filhos,positivo
146,recebi muito carinho hoje do meus colegas,positivo
147,receio por não me livrar desta situação,negativo
148,receio que terei de ir,negativo
149,salvem-se quem puder!,negativo
150,satisfatoriamente eu anuncio o vencedor dos jogos,positivo
151,se eu não achar ele vai descobrir a verdade,negativo
152,se ficarmos quietos eles não vão nos achar,negativo
153,se sair tão tarde poderei ser assaltada,negativo
154,seja cuidadoso com os meus sentimentos,positivo
155,seu amor é brilhante,positivo
156,sinto arrepios quando fico sozinho no escuro,negativo
157,sinto uma grande afeição por ele,positivo
158,sinto-me em paz,positivo
159,sinto-me viva,positivo
160,só espero que não me façam nenhum mal,negativo
161,socorro eu vou cair!,negativo
162,socorro nós estamos afundando,negativo
163,socorro! ele está armado!,negativo
164,socorro! ele queria roubar os meus doces!,negativo
165,somo tão amáveis um com o outro,positivo
166,somos compatíveis um com o outro,positivo
167,sou muito grata a você,positivo
168,sou querida pelos meu amigos,positivo
169,tem certeza que não é perigoso?,negativo
170,tem um crocodilo selvagem vindo para cá,negativo
171,temo pela sua segurança,negativo
172,temos água em abundância,positivo
173,tenho que correr pra não me pegarem,negativo
174,tenho que tomar cuidado com o lobisomem,negativo
175,tire isso de mim! socorro!,negativo
176,tomara que eles não me vejam daqui!,negativo
177,toquei muitos corações durante o meu caminho,positivo
178,trabalhar em equipe é o melhor,positivo
179,um chá quente e reconfortante,positivo
180,um elogio nunca e demais,positivo
181,vamos agir sem preconceitos e julgamentos,positivo
182,vamos agitar essa noite,positivo
183,vamos aplaudir o vencedor,positivo
184,vamos ser caridosos este natal,positivo
185,vamos voltar é muito perigoso,negativo
186,você e como um sonho doce,positivo
187,você é um grande comediante,positivo
188,você me atrai facilmente,positivo
189,você me traz de volta a vida,positivo
190,você significa muito para mim,positivo
191,vou apanhar se meus pais verem meu boletim,negativo
192,vou dar uma grande festa para comemorar meu aniversário,positivo
193,vou ficar sem mesada se tirar nota baixa,negativo
194,vou me afogar me ajudem a sair da água,negativo
195,vou ser descoberto meu deus,negativo
196,vou te chamar para comemorar,positivo
